branch_id,diameter_mean_mm,diameter_std_mm,diameter_min_mm,diameter_max_mm,length_mm,num_points,volume_mm3,surface_area_mm2
971,2.8419781062496745,0.4523964371011608,2.2041847566547292,3.2045615852571356,1.826819685368929,3,11.588494528161686,16.31046277615991
972,3.586473922178942,0.16933172200919544,3.4171422001697462,3.755805644188137,0.7792969942092896,2,7.872782206324625,8.780526363388763
973,2.304062519549056,0.8366527797178543,1.399999976158142,3.4171422001697462,1.399999976158142,3,5.837224924209833,10.133796066180143
974,3.117187976837158,0.0,3.117187976837158,3.117187976837158,0.7792969942092896,2,5.9472865970390325,7.6316046914481195
975,3.5693807390821606,0.3885737587865299,3.117187976837158,4.1900907646385575,2.7950453703983498,4,27.96819860255866,31.34235392299503
976,4.113192279672431,0.35738663548429317,3.755805644188137,4.4705789151567235,0.7792969942092896,2,10.355019151768976,10.070056002919113
977,3.6204638758073,0.1353417683808371,3.485122107426463,3.755805644188137,0.7792969942092896,2,8.022714169761523,8.863741713730093
978,4.4498424478743015,0.02932579326650667,4.4083695133094585,4.4705789151567235,1.558593988418579,3,24.23885759736008,21.788508587704296
979,3.881175586504869,0.43910548842543823,3.4171422001697462,4.4705789151567235,1.558593988418579,3,18.43951355728216,19.004049825931812
980,3.54842567553585,0.7591578802396399,2.611212433853643,4.4705789151567235,1.399999976158142,3,13.844884458241468,15.606790981919882
981,4.675726760596696,0.20514784543997244,4.4705789151567235,4.880874606036668,0.7792969942092896,2,13.381078870101906,11.447271883264856
982,4.514988886450203,0.26488956069796216,4.1900907646385575,4.928706950848807,2.099999964237213,4,33.62192228634404,29.786936917825667
983,4.778328285646203,0.10254632039046552,4.675781965255737,4.880874606036668,0.7792969942092896,2,13.974775830258109,11.69846439579085
984,4.904790778442738,0.023916172406069247,4.880874606036668,4.928706950848807,0.699999988079071,2,13.226011231789949,10.786198090177606
985,4.0804520363411,0.5953299289146372,3.485122107426463,4.675781965255737,1.0475226911596394,2,13.698400997530543,13.428317133033877
986,3.586473922178942,0.16933172200919544,3.4171422001697462,3.755805644188137,0.7792969942092896,2,7.872782206324625,8.780526363388763
987,4.149008403103207,0.731866202933461,3.4171422001697462,4.880874606036668,0.699999988079071,2,9.46403946918806,9.124145867826668
988,4.145224424608382,0.29812383607638687,3.755805644188137,4.479867701162583,1.4792969822883606,3,19.963714461421045,19.264302644658
989,4.249528311112847,0.49372266692471056,3.755805644188137,4.743250978037558,0.699999988079071,2,9.928173723366477,9.34520068724195
990,3.3398174281444555,0.15985039128238887,3.117187976837158,3.485122107426463,1.4792969822883606,3,12.959573406393481,15.521295621950923
991,3.586473922178942,0.16933172200919544,3.4171422001697462,3.755805644188137,0.699999988079071,2,7.071690884895585,7.887067954030146
992,5.623232069191417,0.86657770305968,4.479867701162583,6.576979450000576,1.558593988418579,3,38.70747949110569,27.533972644078737
993,4.893593590168081,0.41309614951382895,4.479867701162583,5.457662091304101,1.399999976158142,3,26.3313852320336,21.52314837499956
994,6.300401668425769,0.39973324594356907,5.619590542873114,6.595913510315113,2.25859397649765,4,70.41489282710918,44.70501820859507
995,6.647100490501103,0.3685817477943383,6.278518742706765,7.015682238295441,0.7792969942092896,2,27.043155876892627,16.27365550771382
996,6.968052758596526,0.3666996689401884,6.426247641702511,7.460036939535227,2.099999964237213,4,80.08146864667057,45.97064426521375
997,4.299289238063384,0.5398177737240805,3.117187976837158,4.928706950848807,4.864710656075869,7,70.62203421201224,65.70577628205723
998,3.600770004246016,0.44955626839600904,3.117187976837158,4.199999928474426,1.399999976158142,3,14.256360665833652,15.837013359945345
999,5.026196178469817,0.09748922762101087,4.928706950848807,5.123685406090829,0.7792969942092896,2,15.4622166367975,12.305302927117213
1000,5.0022800060637485,0.12140540002708011,4.880874606036668,5.123685406090829,0.7792969942092896,2,15.31541885084158,12.24675054757133
1001,5.850332428045702,0.7266470219548737,5.123685406090829,6.576979450000576,0.699999988079071,2,18.816940106917,12.865552744805498
1002,4.928706950848807,0.0,4.928706950848807,4.928706950848807,0.7792969942092896,2,14.868216492597583,12.066626513501294
1003,4.802244458052272,0.12646249279653476,4.675781965255737,4.928706950848807,0.7792969942092896,2,14.115017163147106,11.757016775336735
1004,5.677477296275659,0.748770345426852,4.928706950848807,6.426247641702511,0.699999988079071,2,17.72142848048673,12.4854244628062
1005,4.993699769262814,0.09191372525794086,4.928706950848807,5.123685406090829,1.558593988418579,3,30.52584780199341,24.451488245157147
1006,4.802244458052272,0.12646249279653476,4.675781965255737,4.928706950848807,0.7792969942092896,2,14.115017163147106,11.757016775336735
1007,5.8168715065841745,0.16274624746269914,5.619590542873114,6.018174920468318,1.4792969822883606,3,39.31191440565502,27.033029257158226
1008,5.435877077510526,0.1596400629718977,5.23037859835436,5.619590542873114,1.4792969822883606,3,34.33084613972268,25.26241535648942
1009,5.619590542873114,0.0,5.619590542873114,5.619590542873114,0.7792969942092896,2,19.32868144037685,13.758071014543864
1010,5.274148746860961,0.34544179601215363,4.928706950848807,5.619590542873114,0.7792969942092896,2,17.02541201320034,12.91234876402258
1011,5.705472990157674,0.08588244728456029,5.619590542873114,5.791355437442235,0.7792969942092896,2,19.923984262039607,13.968331317252629
1012,5.274148746860961,0.34544179601215363,4.928706950848807,5.619590542873114,0.7792969942092896,2,17.02541201320034,12.91234876402258
1013,5.620697751655829,0.17065768578640528,5.450040065869424,5.791355437442235,0.7792969942092896,2,19.33629871923645,13.7607817204119
1014,5.457520421766532,0.33383501567570306,5.123685406090829,5.791355437442235,0.7792969942092896,2,18.229872092511954,13.361285480347265
1015,5.165457335953047,0.2845827299163779,4.880874606036668,5.450040065869424,0.7792969942092896,2,16.330912060366717,12.646246787635969
1016,5.0022800060637485,0.12140540002708011,4.880874606036668,5.123685406090829,0.7792969942092896,2,15.31541885084158,12.24675054757133
1017,3.881175586504869,0.43910548842543823,3.4171422001697462,4.4705789151567235,1.4792969822883606,3,17.5013614596511,18.03717566451218
1018,4.113192279672431,0.35738663548429317,3.755805644188137,4.4705789151567235,0.699999988079071,2,9.30134895509447,9.045382099992873
1019,4.586644481273645,0.12605943876329034,4.4083695133094585,4.675781965255737,1.4792969822883606,3,24.441925145414665,21.315735497011968
1020,4.542075739282598,0.13370622597313941,4.4083695133094585,4.675781965255737,0.699999988079071,2,11.342183196199244,9.98854607210112
