from_generation,to_generation,diameter_ratio
0,1,0.738616249434058
1,2,0.7738072855513997
2,3,0.9501677140556438
3,4,0.8889962129690352
4,5,1.2551093188178484
5,6,0.6637056907189424
6,7,0.9556635811315451
7,8,1.5292291240966733
8,9,0.9015136394874467
9,10,1.2987223840546704
10,11,0.4742092773061644
