branch_id,diameter_mean_mm,diameter_std_mm,diameter_min_mm,diameter_max_mm,length_mm,num_points,generation,volume_mm3,surface_area_mm2,proximal_node,distal_node,distance_from_carina_proximal_mm,distance_from_carina_distal_mm
0,1.819340907694932,0.4856117095840003,1.399999976158142,2.799999952316284,36.91081886784447,38,8,95.95591054303054,210.96851093092766,71,0,123.44594381189346,160.35676267973793
1,1.5999265529113111,0.3356799749901953,1.399999976158142,2.611212433853643,16.690742208912578,21,6,33.55564747023798,83.89296973458775,134,27,109.85857534036765,126.54931754928023
2,1.635286936666072,0.3293086572363389,1.399999976158142,2.2041847566547292,10.112515620424915,10,8,21.23914460109585,51.95209262637904,71,34,123.44594381189346,133.5584594323184
3,1.5001646154805233,0.07650200694212707,1.399999976158142,1.558593988418579,16.54037437147264,19,7,29.23567002216934,77.95323185330498,74,47,125.06443624910249,141.60481062057514
4,1.4792969822883606,0.0792970061302185,1.399999976158142,1.558593988418579,3.4006515992461006,4,7,5.844707265253788,15.8040132177177,74,52,125.06443624910249,128.4650878483486
5,2.5020875307436783,0.29794810910145786,2.0950453823192787,2.799999952316284,5.942568025795202,8,7,29.21924839574556,46.71179251200844,114,71,117.50337578609826,123.44594381189346
6,2.669457047429924,0.5230239728968115,1.558593988418579,3.2045615852571356,19.32656383107904,19,6,108.16590826621176,162.07926382685315,171,74,105.73787241802344,125.06443624910249
7,1.9762079992237747,0.6018045279931598,1.399999976158142,3.117187976837158,24.17694864238275,27,5,74.15777229284274,150.10114789935233,253,91,116.91504215258814,141.09199079497088
8,1.652743760216737,0.33434859901822694,1.399999976158142,2.0950453823192787,8.865872729894296,11,7,19.020521775994464,46.03380689454282,114,97,117.50337578609826,126.36924851599255
9,1.6739612701493296,0.47263383826700545,1.399999976158142,2.611212433853643,4.448174290405739,5,6,9.789544577228797,23.39252347542186,134,99,109.85857534036765,114.3067496307734
10,1.865776628863789,0.5303190388818344,1.399999976158142,3.117187976837158,22.166296020469115,24,5,60.60414205611481,129.92796912248002,253,106,116.91504215258814,139.08133817305725
11,2.88793121215223,0.2893856878298075,2.0950453823192787,3.2045615852571356,11.765503368074814,13,6,77.0679989728321,106.74492335348555,171,114,105.73787241802344,117.50337578609826
12,2.557872064358627,0.9117570966394637,1.399999976158142,5.123685406090829,21.30260626585418,24,5,109.46625473275544,171.18331484683313,296,134,88.55596907451347,109.85857534036765
13,3.7023732691269626,0.6541150911843174,2.799999952316284,5.123685406090829,17.181903343509973,18,5,184.97862904080202,199.84870848467514,296,171,88.55596907451347,105.73787241802344
14,1.8311329709109383,0.6580428031673731,1.399999976158142,3.2045615852571356,21.674646322257765,20,5,57.07969790403132,124.68717195482694,331,182,97.44135133075767,119.11599765301543
15,1.4264323115348816,0.05910449870646204,1.399999976158142,1.558593988418579,9.000651503878668,12,5,14.383552530346742,40.33434300116107,275,185,114.47752048409603,123.4781719879747
16,1.399999976158142,0.0,1.399999976158142,1.399999976158142,16.620324155282127,18,6,25.58500037917256,73.10000232823579,277,219,114.92092226405856,131.5412464193407
17,1.4951563835144044,0.077694881259754,1.399999976158142,1.558593988418579,3.6536393707378583,5,6,6.414883869194311,17.161773684478295,274,251,122.35044020999841,126.00407958073627
18,2.801170703160497,0.40589703582135056,2.0950453823192787,3.2045615852571356,18.755735257387144,19,4,115.58543886253918,165.05304547434653,450,253,98.159306895201,116.91504215258814
19,1.5427345871925353,0.0475782036781311,1.399999976158142,1.558593988418579,7.872919725902381,10,5,14.71662207166944,38.15723636157198,275,274,114.47752048409603,122.35044020999841
20,1.5057293176651,0.07476193434995831,1.399999976158142,1.558593988418579,4.343497187633761,6,6,7.734339633134139,20.546427680979477,274,302,122.35044020999841,126.69393739763217
21,2.365696629918845,0.5779004023840834,1.558593988418579,3.117187976837158,16.318213588895038,18,4,71.72665817871261,121.27786339396053,450,275,98.159306895201,114.47752048409603
22,1.399999976158142,0.0,1.399999976158142,1.399999976158142,2.353128908086461,3,6,3.6223603970142935,10.349601310579212,277,304,114.92092226405856,117.27405117214502
23,1.9757177104364163,0.573889873420536,1.399999976158142,3.2045615852571356,17.4795709333009,18,5,53.58835615506904,108.49395310270698,331,277,97.44135133075767,114.92092226405856
24,5.1664030115731165,0.35096792057599535,4.675781965255737,5.619590542873114,6.806257780410135,8,4,142.68385568494804,110.47055784484941,361,296,81.74971129410334,88.55596907451347
25,3.056224297406262,0.2569277192146819,2.611212433853643,3.2045615852571356,3.4552212864138254,4,4,25.347562125220872,33.17500243255404,354,331,93.98613004434384,97.44135133075767
26,2.2669202706346407,0.6295816162402984,1.399999976158142,3.4171422001697462,24.860466781287137,27,4,100.3394351573102,177.04978239789523,354,407,93.98613004434384,118.84659682563097
27,4.503997451979605,1.4665012709005343,3.117187976837158,8.280723413527017,23.048934358744486,22,3,367.22902935725205,326.13608979360936,461,354,70.93719568559935,93.98613004434384
